time,Average Temperature (°C),Minimum Temperature (°C),Maximum Temperature (°C),Precipitation (mm),Snow Depth (cm),Wind Direction (°),Wind Speed (km/h),Wind Gust (km/h),Air Pressure (hPa),Sunshine Duration (minutes)
1990-01-01,16.6,11.9,23.7,,,,,,,
1990-01-02,16.4,9.9,25.2,,,,,,,
1990-01-03,15.6,14.0,23.4,,,,,,,
1990-01-04,18.4,10.8,28.0,,,,,,,
1990-01-05,20.0,17.5,26.2,,,,,,,
1990-01-06,18.0,13.0,,,,,,,,
1990-01-07,15.8,10.8,23.7,,,,,,,
1990-01-08,16.6,10.3,26.2,,,,,,,
1990-01-09,17.8,14.9,,,,,,,,
1990-01-10,20.3,14.9,27.2,,,,,,,
1990-01-11,19.6,15.7,24.2,,,,,,,
1990-01-12,17.1,14.6,22.1,,,,,,,
1990-01-13,16.6,13.9,22.0,,,,,,,
1990-01-14,17.3,10.7,23.9,,,,,,,
1990-01-15,15.6,13.8,18.1,,,,,,,
1990-01-16,18.1,15.8,21.2,,,,,,,
1990-01-17,16.8,,19.2,,,,,,,
1990-01-18,15.9,,,,,,,,,
1990-01-19,16.4,15.5,19.6,,,,,,,
1990-01-20,14.4,,19.3,,,,,,,
1990-01-21,15.0,8.6,21.4,,,,,,,
1990-01-22,15.8,9.8,,,,,,,,
1990-01-23,15.8,9.2,21.0,,,,,,,
1990-01-24,18.0,,24.3,,,,,,,
1990-01-25,18.1,,23.3,,,,,,,
1990-01-26,16.4,,21.6,,,,,,,
1990-01-27,15.6,10.5,22.5,,,,,,,
1990-01-28,17.6,13.0,24.2,,,,,,,
1990-01-29,17.2,15.8,,,,,,,,
1990-01-30,16.4,,20.0,,,,,,,
1990-01-31,14.5,,,,,,,,,
1990-02-01,15.5,8.2,22.5,,,,,,,
1990-02-02,16.1,9.4,27.0,,,,,,,
1990-02-03,19.5,14.6,,,,,,,,
1990-02-04,20.3,14.8,27.2,,,,,,,
1990-02-05,22.7,19.0,28.9,,,,,,,
1990-02-06,21.2,,24.6,,,,,,,
1990-02-07,19.7,,22.3,,,,,,,
1990-02-08,17.5,,23.3,,,,,,,
1990-02-09,18.3,12.1,24.3,,,,,,,
1990-02-10,18.6,16.8,24.1,,,,,,,
1990-02-11,19.3,18.1,22.2,,,,,,,
1990-02-12,16.7,,20.4,,,,,,,
1990-02-13,16.4,11.7,21.2,,,,,,,
1990-02-14,16.8,11.6,23.3,,,,,,,
1990-02-15,19.1,12.0,25.2,,,,,,,
1990-02-16,19.0,,23.2,,,,,,,
1990-02-17,17.2,15.1,21.5,,,,,,,
1990-02-18,17.3,13.0,23.2,,,,,,,
1990-02-19,19.9,12.9,28.6,,,,,,,
1990-02-20,20.3,16.1,30.2,,,,,,,
1990-02-21,21.1,15.6,26.8,,,,,,,
1990-02-22,20.7,16.0,25.8,,,,,,,
1990-02-23,19.6,18.9,24.4,,,,,,,
1990-02-24,18.9,14.8,23.5,,,,,,,
1990-02-25,18.9,12.5,23.3,,,,,,,
1990-02-26,18.8,16.3,23.2,,,,,,,
1990-02-27,16.8,,22.3,,,,,,,
1990-02-28,16.3,,22.5,,,,,,,
1990-03-01,17.5,13.0,23.6,,,,,,,
1990-03-02,16.1,9.2,22.5,,,,,,,
1990-03-03,16.0,10.5,21.8,,,,,,,
1990-03-04,18.8,12.5,26.3,,,,,,,
1990-03-05,18.5,14.3,23.9,,,,,,,
1990-03-06,16.8,,27.3,,,,,,,
1990-03-07,19.4,10.1,30.1,,,,,,,
1990-03-08,20.2,10.7,30.5,,,,,,,
1990-03-09,22.1,13.2,30.4,,,,,,,
1990-03-10,22.4,17.3,32.1,,,,,,,
1990-03-11,23.6,13.7,34.8,,,,,,,
1990-03-12,22.8,15.1,33.2,,,,,,,
1990-03-13,23.9,15.4,,,,,,,,
1990-03-14,24.1,19.4,33.5,,,,,,,
1990-03-15,21.1,,25.4,,,,,,,
1990-03-16,19.1,,,,,,,,,
1990-03-17,20.3,,27.3,,,,,,,
1990-03-18,20.5,12.9,30.7,,,,,,,
1990-03-19,22.9,,,,,,,,,
1990-03-20,22.4,17.9,26.2,,,,,,,
1990-03-21,20.5,,,,,,,,,
1990-03-22,20.6,13.4,29.7,,,,,,,
1990-03-23,22.0,15.5,32.1,,,,,,,
1990-03-24,22.7,15.2,31.5,,,,,,,
1990-03-25,24.4,20.8,31.2,,,,,,,
1990-03-26,23.2,,25.4,,,,,,,
1990-03-27,21.9,,26.4,,,,,,,
1990-03-28,20.9,,25.5,,,,,,,
1990-03-29,18.9,14.9,26.0,,,,,,,
1990-03-30,17.8,,26.8,,,,,,,
1990-03-31,21.5,14.8,,,,,,,,
1990-04-01,19.3,17.1,23.4,,,,,,,
1990-04-02,23.6,17.1,30.9,,,,,,,
1990-04-03,26.9,20.5,35.0,,,,,,,
1990-04-04,26.8,22.4,34.0,,,,,,,
1990-04-05,25.1,,31.1,,,,,,,
1990-04-06,21.9,,27.3,,,,,,,
1990-04-07,21.6,14.8,33.2,,,,,,,
1990-04-08,24.3,17.4,33.3,,,,,,,
1990-04-09,22.0,,28.1,,,,,,,
1990-04-10,21.4,18.7,31.5,,,,,,,
1990-04-11,23.3,17.3,35.9,,,,,,,
1990-04-12,22.9,14.5,30.9,,,,,,,
1990-04-13,23.1,14.0,34.7,,,,,,,
1990-04-14,27.3,17.4,,,,,,,,
1990-04-15,29.6,20.7,39.3,,,,,,,
1990-04-16,30.0,23.6,39.8,,,,,,,
1990-04-17,27.3,20.9,38.9,,,,,,,
1990-04-18,26.0,20.8,34.9,,,,,,,
1990-04-19,26.5,17.9,31.4,,,,,,,
1990-04-20,25.9,21.0,33.9,,,,,,,
1990-04-21,27.3,20.9,33.0,,,,,,,
1990-04-22,27.6,20.0,35.6,,,,,,,
1990-04-23,26.5,19.2,36.9,,,,,,,
1990-04-24,26.9,16.6,38.8,,,,,,,
1990-04-25,27.6,,38.0,,,,,,,
1990-04-26,27.5,22.7,35.7,,,,,,,
1990-04-27,27.4,18.8,37.2,,,,,,,
1990-04-28,29.3,18.8,37.6,,,,,,,
1990-04-29,30.8,,38.8,,,,,,,
1990-04-30,30.8,23.4,38.0,,,,,,,
1990-05-01,28.8,21.9,36.3,,,,,,,
1990-05-02,29.1,22.2,35.0,,,,,,,
1990-05-03,28.7,23.0,38.8,,,,,,,
1990-05-04,29.5,24.5,35.2,,,,,,,
1990-05-05,29.7,24.5,35.5,,,,,,,
1990-05-06,29.0,23.9,36.5,,,,,,,
1990-05-07,29.4,22.0,37.7,,,,,,,
1990-05-08,27.4,24.1,37.8,,,,,,,
1990-05-09,27.8,20.9,38.9,,,,,,,
1990-05-10,28.9,20.8,,,,,,,,
1990-05-11,31.3,22.6,38.7,,,,,,,
1990-05-12,30.4,22.8,42.3,,,,,,,
