time,Average Temperature (°C),Minimum Temperature (°C),Maximum Temperature (°C),Precipitation (mm),Snow Depth (cm),Wind Direction (°),Wind Speed (km/h),Wind Gust (km/h),Air Pressure (hPa),Sunshine Duration (minutes)
1995-07-19,35.1,33.2,37.2,,,,7.2,,,
1995-07-20,33.8,32.2,35.2,,,,10.1,,,
1995-07-21,,,,,,,,,,
1995-07-22,,,,,,,,,,
1995-07-23,29.9,27.2,32.2,,,,5.3,,,
1995-07-24,,,,,,,,,,
1995-07-25,,,,,,,,,,
1995-07-26,32.5,31.2,34.2,,,,8.3,,,
1995-07-27,33.0,31.2,35.2,,,,8.2,,,
1995-07-28,,,,,,,,,,
1995-07-29,,,,,,,,,,
1995-07-30,33.9,32.2,36.2,,,,7.2,,,
1995-07-31,33.3,32.2,35.2,,,,4.8,,,
1995-08-01,33.1,25.8,36.2,,,,5.3,,,
1995-08-02,34.4,32.2,37.2,,,,8.6,,,
1995-08-03,35.2,33.2,37.2,,,,9.1,,,
1995-08-04,35.6,33.2,39.2,,,,8.3,,,
1995-08-05,34.2,33.2,36.2,,,,7.1,,,
1995-08-06,35.4,33.2,37.2,,,,7.6,,,
1995-08-07,35.6,33.2,38.2,,,,6.9,,,
1995-08-08,34.9,33.2,37.2,,,,7.3,,,
1995-08-09,34.3,32.2,36.5,,,,7.9,,,
1995-08-10,,,,,,,,,,
1995-08-11,32.5,31.2,34.2,,,,7.9,,,
1995-08-12,32.7,30.2,35.2,,,,6.5,,,
1995-08-13,38.7,32.2,44.2,,,283.0,21.4,,,
1995-08-14,36.6,33.2,39.2,,,40.0,13.6,,,
1995-08-15,33.9,32.2,38.2,,,,7.4,,,
1995-08-16,,,,,,,,,,
1995-08-17,32.3,31.2,34.2,,,,7.9,,,
1995-08-18,32.4,31.2,34.2,,,111.0,9.7,,,
1995-08-19,,,,,,,,,,
1995-08-20,33.5,31.2,36.2,,,,5.6,,,
1995-08-21,33.4,32.2,35.2,,,,6.9,,,
1995-08-22,,,,,,,,,,
1995-08-23,31.9,31.2,34.2,,,130.0,13.6,,,
1995-08-24,,,,,,,,,,
1995-08-25,32.4,30.2,35.2,,,,7.1,,,
1995-08-26,32.5,31.2,35.2,,,,6.0,,,
1995-08-27,33.0,31.2,35.2,,,,7.1,,,
1995-08-28,32.7,31.2,34.2,,,,7.1,,,
1995-08-29,33.1,30.2,36.2,,,,6.4,,,
1995-08-30,,,,,,,,,,
1995-08-31,32.8,31.2,35.2,,,,6.2,,,
1995-09-01,32.8,31.2,35.2,,,,4.7,,,
1995-09-02,34.2,31.2,37.2,,,,4.7,,,
1995-09-03,34.7,30.2,39.2,,,,4.7,,,
1995-09-04,,,,,,,,,,
1995-09-05,34.5,29.2,39.2,,,,6.3,,,
1995-09-06,,,,,,,,,,
1995-09-07,,,,,,,,,,
1995-09-08,,,,,,,,,,
1995-09-09,,,,,,,,,,
1995-09-10,,,,,,,,,,
1995-09-11,,,,,,,,,,
1995-09-12,,,,,,,,,,
1995-09-13,,,,,,,,,,
1995-09-14,,,,,,,,,,
